campo,descripcion_inferida,relevancia_analitica,uso_potencial,fortaleza_esperada,limitaciones
AUDIT_ASSET_JSON,Detalle estructurado del activo o assets impactados.,Alta,"Correlación fina con endpoints, tags o grupos afectados.",Alta si el JSON es consistente.,Puede venir como string serializado y requerir flattening.
AUDIT_ASSET_NAMES,Activos o nombres de activos asociados a la acción.,Alta,"Blast radius, uninstall masivo y cambios con impacto de cobertura.",Alta cuando viene poblado.,Formato y delimitación pueden variar; requiere parsing adicional.
AUDIT_DESCRIPTION,Descripción textual del cambio o acción ejecutada.,Alta,"Banderas semánticas para uninstall, token, API key, config y Action Center.",Alta para enriquecer contexto de anomalías.,"Puede ser largo, ruidoso o cambiar entre releases."
AUDIT_ENTITY,Familia o tipo principal de evento administrativo.,Alta,"Volumetría por dominio, rareza de acciones y detección de picos por categoría.",Alta.,Granularidad media; por sí sola puede ocultar subtipos críticos.
AUDIT_ENTITY_SUBTYPE,Subtipo más específico del evento administrativo.,Alta,"Rare actions, cambios críticos concretos y secuencias operativas.",Alta cuando la cardinalidad es manejable.,Puede ser muy disperso y requerir normalización semántica.
AUDIT_INSERT_TIME,Marca temporal del evento administrativo.,Alta,"Series temporales, estacionalidad, bursts y secuencias.",Alta.,Hay que confirmar zona horaria y semántica exacta del timestamp.
AUDIT_OWNER_EMAIL,Correo del actor administrativo.,Alta,"Identidad primaria para baselines, rareza y first-seen.",Alta si el tenant usa identidades personales.,Se debilita con service accounts o automatizaciones impersonales.
AUDIT_OWNER_NAME,Nombre visible del actor administrativo.,Alta,Perfiles de comportamiento por administrador y secuencias por usuario.,Media a alta según consistencia operativa.,"Puede variar por alias, cambios de display name o cuentas compartidas."
AUDIT_RESULT,Resultado de la acción administrativa.,Alta,"Detección de bursts de fallo, pruebas erróneas y cambios rechazados.",Alta cuando existe taxonomía consistente de estados.,Las etiquetas exactas pueden variar entre tipos y versiones.
SOURCE_IP,IP de origen observada para la acción administrativa.,Alta,"First-seen por usuario, rareza de origen y posibles automatizaciones no habituales.",Alta si la IP está presente y estable.,"Puede ocultarse detrás de proxys, NAT o planos de control internos."
AUDIT_ASSET_JSON_PARSED.assets,Campo no documentado explícitamente; requiere validación con datos reales.,Media,"Exploración de esquema, correlación y enriquecimiento contextual.",Por validar.,Interpretación heurística hasta ver suficiente histórico.
AUDIT_ASSET_JSON_PARSED.hostname,Campo no documentado explícitamente; requiere validación con datos reales.,Media,"Exploración de esquema, correlación y enriquecimiento contextual.",Por validar.,Interpretación heurística hasta ver suficiente histórico.
AUDIT_HOSTNAME,"Hostname afectado, si existe impacto sobre un endpoint concreto.",Media,Estimación de alcance y detección de acciones concentradas en hosts.,Media.,Puede estar ausente en eventos puramente administrativos.
AUDIT_ID,Identificador único del evento administrativo.,Media,"Trazabilidad, deduplicación y correlación con artefactos exportados.",Alta para integridad del dataset.,No aporta señal de anomalía por sí solo.
AUDIT_REASON,Motivo o detalle resumido del resultado.,Media,"Clustering de fallos, causas recurrentes y semántica de errores.",Media.,"Texto libre, con nulos frecuentes y baja estandarización."
AUDIT_SESSION_ID,Identificador de sesión asociado a la actividad.,Media,"Secuencias, agrupación por sesión y pivot con múltiples acciones rápidas.",Media.,No siempre estará presente ni estable entre tipos de acción.
AUDIT_SEVERITY,Severidad asociada al evento.,Media,Priorización y scoring contextual.,Media.,No sustituye el contexto operativo real ni el blast radius.
USER_AGENT,User-Agent del cliente que originó la acción.,Media,"Tooling novelty, automatización y acceso desde clientes no habituales.",Media.,"A menudo es ruidoso, mutable o puede faltar por completo."
__source_file,Campo no documentado explícitamente; requiere validación con datos reales.,Media,"Exploración de esquema, correlación y enriquecimiento contextual.",Por validar.,Interpretación heurística hasta ver suficiente histórico.
AUDIT_CASE_ID,"Caso relacionado, si aplica.",Baja,Correlación con flujos de incidentes o war rooms.,Baja a media.,Suele ser nulo fuera de dominios orientados a casos.
